uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,name,artist
spotify:track:6dnCYZ6YYPrR6Ms0gHeIU2,0.584,0.0196,0,-26.227,1,0.0335,0.983,0.00201,0.071,0.267,98.877,189091,4,My Girl,Joy Oladokun
spotify:track:1NUpIqsrU4UBxNvmeznDQK,0.458,0.332,9,-13.989,1,0.028,0.649,0.115,0.11,0.259,153.725,241193,4,Brass in Pocket,"Teddy Geiger,teddy<3"
spotify:track:495y8T4aLlEqQ5bbD6howh,0.454,0.568,0,-6.066,1,0.0317,0.0241,5.21e-05,0.11,0.13,110.047,239621,4,Dreams,Haley Reinhart
spotify:track:32RC7EvEAUUn9aoQZlWT2e,0.309,0.204,3,-10.867,1,0.0397,0.949,0.0,0.127,0.289,185.309,197804,4,All Through the Night,Sleeping At Last
spotify:track:3NiHRFN1Wvx9c2IYRPD1Zf,0.463,0.317,6,-8.944,0,0.0272,0.906,4.08e-05,0.107,0.193,127.995,195814,4,Higher Love,will hyde
spotify:track:34APO7yezS12jRpPaUAv8A,0.397,0.118,9,-9.771,0,0.0357,0.963,0.0,0.1,0.152,112.478,291000,4,I Can't Make You Love Me,Cinzia & The Eclipse
spotify:track:6X6fJzF0BGbUk6mhqNvgZZ,0.561,0.299,9,-11.392,1,0.0315,0.837,0.000143,0.357,0.107,123.92,309360,4,re: Stacks - Spotify Singles,Noah Cyrus
spotify:track:2an7S0pfafUr6YNabYXIl0,0.419,0.171,1,-14.148,1,0.0474,0.913,0.000763,0.0779,0.0588,70.991,232348,5,No One's Gonna Love You,Axel Flóvent
spotify:track:4YjYBvMmdBJ2RMDKxl1AVU,0.395,0.288,9,-14.05,1,0.217,0.813,0.0,0.398,0.167,172.396,187489,4,Yellow,Peter Thomas
spotify:track:7nghYGsh54yEir2qzPxqyk,0.414,0.064,5,-12.321,1,0.0759,0.962,0.0,0.215,0.0374,187.047,153500,5,Bang Bang (My Baby Shot Me Down),Daniela Andrade
spotify:track:5idADky7mHihopJGObd4hf,0.454,0.292,9,-16.486,1,0.0336,0.714,0.18,0.118,0.126,130.014,208345,4,Take on Me,Lia Rose
spotify:track:22NL5h9eOZqVeBRLrRgMJk,0.436,0.152,0,-14.846,1,0.0526,0.94,4.22e-05,0.114,0.158,147.623,256798,4,My City of Ruins,Wesley Schultz
spotify:track:30rvG8w7qtOnsqiUk6JSvE,0.39,0.333,7,-9.499,1,0.0264,0.851,0.0187,0.104,0.0517,95.445,252716,4,Believe,Anna of the North
spotify:track:0mzTvUqyQuXJ3J9KuVNFah,0.342,0.36,7,-5.542,1,0.0302,0.837,0.0,0.12,0.088,132.331,286507,4,Into You,Nick Wilson
spotify:track:6zUVhz0qHuwtZETMf7vgUT,0.621,0.296,3,-9.801,1,0.0291,0.805,6.75e-05,0.103,0.257,121.918,294499,4,Dakota,Tom Speight
spotify:track:0DNJCBqcgQaBndHYHbx57y,0.596,0.398,4,-10.256,1,0.024,0.277,0.0061,0.0958,0.0663,98.41,197865,4,"Nothing's Gonna Hurt You Baby - From ""Promising Young Woman"" Soundtrack",Donna Missal
spotify:track:6mUqicSg561rnrIcBOAYah,0.448,0.215,9,-15.37,1,0.0368,0.81,0.0832,0.105,0.312,83.956,164471,4,Don't Know Why - Live at Six Degree Studios,"Kaia Kingsley,Cam Noble"
spotify:track:7fu3lFEf8dVfFuvKxhTPwP,0.17,0.349,2,-10.992,1,0.04,0.545,0.000341,0.341,0.115,184.057,177144,4,Creep,Ember Island
spotify:track:55KGNC101dEVfdAGAzUIeq,0.664,0.594,11,-9.969,1,0.0321,0.426,0.183,0.118,0.204,96.973,222796,3,Electric Feel,Lucy Daydream
spotify:track:4TKHFv1IkAQFg9PJUWS8f6,0.549,0.37,3,-10.289,1,0.0307,0.891,0.0,0.112,0.28,95.036,173924,4,Bloom,LULLANAS
spotify:track:41uHv2ZIT0YDUHoyNzvRQ1,0.772,0.409,9,-9.226,0,0.0299,0.764,0.00323,0.101,0.338,109.978,188346,4,California Dreamin',Amason
spotify:track:6MKXxE9Zz18KXyPO7T5vhI,0.649,0.205,9,-12.366,1,0.036,0.883,0.0,0.121,0.499,110.913,218581,4,Soul Meets Body,Imaginary Future
spotify:track:158cW9xy5JPL1l9mfdTuSI,0.397,0.161,6,-13.916,1,0.0344,0.818,2e-05,0.111,0.105,109.88,254640,4,Champagne Supernova (OurVinyl Sessions),"Jillette Johnson,OurVinyl"
spotify:track:1rHn70WY3D7Kmy73GRlpiT,0.484,0.206,1,-10.949,1,0.0287,0.831,0.0,0.109,0.174,105.526,199286,4,I Like America & America Likes Me,Charli Adams
spotify:track:0hGO3Ws99t05Iboxcve9DC,0.294,0.354,2,-11.088,1,0.0328,0.849,0.23,0.101,0.512,180.027,178659,4,Bones,Rosie Carney
spotify:track:7kqlAbUuU1v9w5LN1nOO2q,0.59,0.195,3,-9.096,1,0.0296,0.831,0.0,0.123,0.191,77.982,162547,3,Eternal Flame,Saint Sister
spotify:track:05FqZMpneCoWc3FUxMLCLG,0.399,0.163,3,-16.436,0,0.0382,0.963,0.00132,0.0885,0.242,94.011,199654,3,Electric Feel,Henry Green
spotify:track:3WPYHZy8f7KIS5fVTUmliT,0.71,0.258,3,-10.632,1,0.034,0.84,0.000323,0.0998,0.337,112.922,237876,4,Lost,bülow
spotify:track:0foJgbkqIYjC8WfEOMMw3i,0.673,0.357,7,-7.087,1,0.0288,0.434,1.37e-05,0.313,0.547,107.984,163342,3,Lover,The National Parks
spotify:track:5F0oU6oawDaAdNAaRX0I8z,0.286,0.305,7,-9.319,1,0.0425,0.638,8.52e-05,0.124,0.0912,160.393,202658,4,Zombie,Ghostly Kisses
spotify:track:0KAFjeQ6jpmtKP4CW9m5X6,0.656,0.3,4,-9.905,1,0.0349,0.87,0.0,0.0956,0.369,120.006,190981,4,you broke me first,The Mayries
spotify:track:4uPne76R07AKS4jEXL6QIl,0.464,0.246,0,-11.839,1,0.0277,0.824,0.00058,0.112,0.0928,80.038,168813,3,Come Away with Me (feat. Josh Kumra),"Emma Bunton,Josh Kumra"
spotify:track:5HUjt6psQWx08b3Nag7Jd2,0.577,0.306,8,-10.694,0,0.0592,0.547,2.88e-06,0.109,0.117,103.065,212307,4,Passionfruit,Wyvern Lingo
spotify:track:4RftloQV6tARnLrBuXKzMr,0.568,0.477,11,-8.099,0,0.0361,0.576,0.000456,0.141,0.227,116.941,191444,4,Don't Start Now,Ingrid Andress
spotify:track:4DYdrgkSWVYzo9e5RMnUMV,0.631,0.548,0,-7.289,1,0.0303,0.199,0.0,0.0796,0.133,115.023,223173,4,Circles,Of Monsters and Men
spotify:track:6EdnX4fu6jAY65VmOHFhOk,0.424,0.197,2,-12.381,1,0.0302,0.812,0.0114,0.112,0.094,99.626,187242,4,I'm on Fire,Soccer Mommy
spotify:track:3AUUytODwlkGAeQa7yfkfr,0.276,0.287,2,-10.728,1,0.0468,0.74,0.0,0.0585,0.371,191.056,211771,5,Think Twice,Nick Wilson
spotify:track:0p9iW5SZgKuxF2Tnodh316,0.586,0.269,7,-7.672,1,0.0262,0.885,0.0,0.0906,0.257,105.809,167125,4,Wouldn't It Be Nice,Trousdale
spotify:track:5rcjnQLlh7AhGFdZrK07tU,0.381,0.224,0,-14.677,0,0.0472,0.922,4.65e-05,0.0842,0.109,123.663,227277,4,Don't Start Now,Penny and Sparrow
spotify:track:2mN9PvVZX0thvOclMwQAju,0.48,0.195,10,-11.952,1,0.0313,0.936,0.000762,0.18,0.411,133.563,191813,4,Your Song,Ellie Goulding
spotify:track:66aH9gXNBfTJUikVIZfzcA,0.642,0.214,3,-9.25,1,0.198,0.909,0.0,0.122,0.38,80.444,149803,4,Days Like This,Dermot Kennedy
spotify:track:4RVmTDYYWR4xivKlLMjS0q,0.574,0.247,10,-9.458,0,0.0402,0.899,0.0,0.146,0.372,81.901,179407,4,Diamonds - Acoustic,Amber Leigh Irish
spotify:track:1VXJxus09S5VAcQ0VcaKjj,0.656,0.308,2,-10.882,1,0.0371,0.959,0.0,0.117,0.36,84.032,141213,4,Final Song,"Wendy Lucas,Jesse Justin"
spotify:track:77mT8LF6gDOLZNOjUhmwfV,0.545,0.181,11,-14.698,1,0.0362,0.872,0.0035,0.689,0.16,113.221,271800,4,"Wicked Game - Live at Killkenny Arts Festival, Ireland/2011",James Vincent McMorrow
spotify:track:7fQ9Yffz8VAT0rVvo0h98b,0.262,0.106,7,-14.267,1,0.0435,0.86,3.55e-06,0.101,0.207,73.546,247427,4,It Must Have Been Love,Kathleen Edwards
spotify:track:2d1tlBbyST4TWmZ7xwdAXH,0.422,0.126,0,-11.514,1,0.0854,0.919,0.0,0.103,0.2,86.331,209819,3,Latch,Sorcha Richardson
spotify:track:2xL5yK2xJZ2ZkNwRkmOi1M,0.595,0.411,0,-12.501,1,0.0418,0.611,0.0107,0.288,0.185,107.033,240112,4,Running up That Hill (feat. Molly Parden),"Hollow Hum,Molly Parden"
spotify:track:1HIj1pIcx7lLPojZwl621A,0.766,0.508,5,-10.887,0,0.0313,0.0134,0.199,0.105,0.565,104.994,218286,4,How Deep is Your Love,"Bellestar,Klub Rider,Glambeats Corp."
spotify:track:3bRyDv7psns9UXFqVSHjhL,0.579,0.278,4,-9.255,1,0.0325,0.893,0.0,0.0929,0.286,127.439,227065,4,About You Now,Meadowlark
spotify:track:3P5PjBDgbYzumxnbuahZqn,0.401,0.0854,4,-15.775,1,0.0367,0.861,0.0,0.113,0.387,178.4,154291,4,In My Life,Imaginary Future
spotify:track:1FaxioLjUIAGpuvkDIDQHF,0.725,0.336,5,-11.828,1,0.0542,0.583,0.00275,0.125,0.25,96.961,207414,4,Like a Virgin,L'Isle
spotify:track:1b5Cgfs0La5peeZ7Sw7y6y,0.546,0.299,5,-14.999,1,0.0386,0.668,0.108,0.111,0.79,115.465,235580,4,What I Am - Recorded at Spotify Studios NYC,Iron & Wine
spotify:track:61RtRHxYsVQlHgNAFdFVea,0.383,0.492,0,-4.349,1,0.0367,0.598,0.0,0.269,0.803,179.723,228000,4,Love on Top,Sophie Rose
spotify:track:0Mmwl88NJOfr7hSqNWXuwX,0.658,0.112,8,-13.09,1,0.0397,0.969,0.0,0.254,0.228,120.214,173476,4,Friday I'm in Love,Oselie
spotify:track:0YZWUkELGlFigAxGLMnfj8,0.342,0.442,8,-15.961,1,0.0375,0.608,0.206,0.192,0.384,93.126,205050,3,Fake Empire,Molly Tuttle
spotify:track:07eCZf9u22LsQH8wpFfjpj,0.725,0.347,10,-7.726,1,0.0322,0.858,0.0,0.106,0.629,116.013,176498,4,It's Not Living (If It's Not with You),Roses & Revolutions
spotify:track:4JKq0hEhwUtxKSfK0rU1UH,0.623,0.31,5,-16.493,0,0.0899,0.771,0.124,0.087,0.156,97.979,218985,4,Only You (1twofeel Reprise),Jay Glavany
spotify:track:3Vp1ShzJnzjtMbGucz0c16,0.579,0.0952,11,-10.659,0,0.0364,0.971,0.0,0.137,0.175,125.733,249440,4,No Ordinary Love,You+Me
spotify:track:7aVmUCeBxzfyqqKwFyrYux,0.425,0.201,0,-12.667,1,0.0334,0.895,0.00468,0.123,0.163,174.992,272001,4,Ode to My Family,Radical Face
spotify:track:5qizUaJepbFJ5qGZyuyQim,0.489,0.368,11,-8.359,0,0.043,0.349,0.00071,0.11,0.245,82.462,247200,4,Diamonds,Josef Salvat
spotify:track:1fah1uAs7HeTYDlNftKr3K,0.399,0.492,6,-10.777,0,0.0538,0.058,0.00101,0.11,0.159,91.066,210463,4,Put Your Records On,Ritt Momney
spotify:track:5dYs9IhYDPUqlYKILmRXt5,0.496,0.399,9,-8.661,1,0.0446,0.448,0.0,0.0769,0.388,139.584,236710,4,Always Be My Baby,Mathew V
spotify:track:2BPmo2L5bYVS5SmpOTcfyF,0.308,0.0204,5,-18.123,0,0.0377,0.982,0.000448,0.107,0.128,147.369,165309,3,Come As You Are,Imaginary Future
spotify:track:6dLJcxHBJvift9UIKwMy55,0.276,0.367,9,-11.16,0,0.0328,0.838,0.0145,0.228,0.145,104.063,152250,4,Can't Feel My Face,Ember Island
spotify:track:535qfjYWFpQBjvIpWNG1ZG,0.579,0.492,11,-16.016,1,0.0383,0.471,0.0187,0.103,0.459,137.766,235418,4,"Sunflower, Vol. 6",Molly Tuttle
spotify:track:21vCVeinc9agpAM7scu3Tx,0.394,0.328,4,-6.362,0,0.0361,0.706,0.0,0.113,0.391,87.953,200192,5,Ocean Eyes,The Darcys
spotify:track:3hTEGA9oAXuXvnYhulpqFF,0.516,0.268,0,-11.894,1,0.0255,0.731,2.78e-05,0.103,0.127,98.796,257324,4,dreams,Anna Mae
spotify:track:4btqwzSNvAcOi2cryL3Not,0.361,0.41,11,-10.136,1,0.0331,0.33,0.0,0.0959,0.139,170.119,164823,4,Everlasting Light,Diamond Thug
spotify:track:7zdaLRVLJJSXjdQB1tFZRJ,0.362,0.398,0,-6.444,1,0.0291,0.263,0.0,0.118,0.244,129.453,204854,4,I'll Stand by You,Jake Wesley Rogers
spotify:track:0wDRNOFe1nzWFDQc5FoKk1,0.349,0.148,4,-9.731,0,0.0365,0.861,0.0,0.136,0.111,158.329,229574,3,Hallelujah,Tenille Townes
spotify:track:2tZ2yDNuqzmv14TnmM0evQ,0.764,0.104,11,-18.735,1,0.133,0.736,0.0,0.11,0.534,75.963,180846,4,Holy / Intentions,Rachael Nemiroff
spotify:track:5KZmeBnCiuX4rnwVw0x5QL,0.66,0.256,0,-10.244,1,0.0433,0.88,0.0,0.0635,0.607,120.313,196046,4,Atlantic City,Lauren O'Connell
spotify:track:0pctQU9cKgRXwHE49GIA3I,0.35,0.0822,9,-12.911,0,0.0408,0.995,0.183,0.0562,0.2,72.426,224227,4,Flume,Cœur De Pirate
spotify:track:6vG1pcmNGdG6Vu62I9nLGL,0.348,0.226,3,-10.918,1,0.0386,0.962,0.00483,0.135,0.173,129.251,269000,3,K.,Rosie Carney
spotify:track:3f6UOwEl6v3n3EjXcjxX9E,0.446,0.163,3,-11.582,1,0.0277,0.936,0.00199,0.113,0.113,71.397,229000,4,Berlin (Ry X cover),Adna
spotify:track:5dQTVqWnlRhNgGUDbYOf8e,0.547,0.204,2,-12.719,0,0.0416,0.956,1.04e-05,0.0956,0.259,84.6,273653,4,In Your Eyes (Acoustic),Gavin Mikhail
spotify:track:4cRPXadQRylHEWmQJ02fIc,0.642,0.675,5,-8.19,1,0.107,0.258,0.335,0.11,0.265,82.513,244173,4,No Surprises (feat. Janelle Monáe),"Roman GianArthur,Janelle Monáe"
spotify:track:3gkqjWvOpWpFQYX5AzqrY3,0.403,0.0427,6,-11.177,0,0.0366,0.926,7.52e-05,0.0984,0.274,78.073,229497,3,Palace - Cover,Cam
spotify:track:5MiQly7cdHQiP6JBX1PSYG,0.573,0.736,2,-6.818,0,0.248,0.622,0.000242,0.0989,0.467,159.863,222463,4,No Diggity,Nick Murphy
spotify:track:26BQhYYkG1B8xxbVV423PY,0.693,0.436,10,-7.808,1,0.0327,0.701,0.0,0.103,0.368,141.866,182958,4,Young & Sad,Tom Boy
spotify:track:1dEHQktvcM8vCCyI1x7yVB,0.445,0.309,11,-12.517,0,0.0404,0.643,0.000369,0.224,0.153,119.754,204707,4,You're The One That I Want,Lo-Fang
spotify:track:6t1rhQUZboK9H25TqxftZ9,0.542,0.375,8,-10.292,1,0.0279,0.849,0.000379,0.111,0.368,117.997,295773,3,Zebra,Yuno
spotify:track:5c0z1ccAIoZl1okUhiqNOc,0.44,0.453,1,-7.556,1,0.0392,0.903,1.34e-05,0.112,0.352,90.214,329086,4,In Your Eyes,Ben Abraham
spotify:track:0xU1zG3u6s1UpfkG8XkZ2w,0.446,0.372,9,-12.143,0,0.143,0.695,5.54e-05,0.0869,0.207,78.694,275821,4,Delicate,Hanne Leland
spotify:track:2ixTmOHffy8b5Qh29ctald,0.242,0.401,10,-8.048,1,0.0267,0.403,0.0156,0.327,0.347,88.554,241067,4,Love,Kris Orlowski
spotify:track:41fecZEX4sPrRxnjZQ6DGU,0.589,0.609,10,-7.593,1,0.053,0.625,0.000759,0.0688,0.411,149.976,179387,4,Landslide,Dagny
spotify:track:4guQztGKAETkvuTekNeqBe,0.546,0.44,1,-6.668,1,0.0273,0.531,2.77e-05,0.0959,0.24,133.886,196413,4,You're Still The One,Teddy Swims
spotify:track:5Y42u37PlyQXegnuI1Hpo1,0.803,0.431,8,-10.817,1,0.0335,0.691,0.000699,0.106,0.212,103.948,219375,4,Funeral Singers,"Sylvan Esso,Collections Of Colonies Of Bees"
spotify:track:4PFnROqBlAVnizUrhF1x7C,0.765,0.495,8,-6.267,1,0.0421,0.711,0.00555,0.106,0.562,76.013,273507,4,Don't Dream It's Over - Recorded at Sound Stage Studios Nashville,Lauren Daigle
spotify:track:5wSvem3XjbOc9fRxAVtCV4,0.199,0.135,1,-11.567,1,0.0317,0.777,0.00656,0.11,0.0397,171.875,243209,3,The Night We Met,Roses & Revolutions
spotify:track:2Yw2YF0bnoYnqviXWSBEjg,0.481,0.282,6,-8.647,1,0.0351,0.414,0.00273,0.124,0.284,179.825,266864,4,Waterfalls,Ten Fé
spotify:track:1zJpJ3HPRtAYYNLWm5BJEf,0.652,0.18,5,-9.735,0,0.111,0.743,4.04e-06,0.71,0.328,115.218,261120,3,"If I Ain’t Got You - James Bay Spotify Session 2015 ""Alicia Keys Cover""",James Bay
spotify:track:1uR8YDxSxeo8BkbR6MUdvg,0.384,0.222,11,-13.388,0,0.0417,0.849,1.24e-05,0.0976,0.467,174.903,221440,3,In The Aeroplane Over The Sea,Dan Mangan
spotify:track:5bVXmsElBv3xtPsoLJ1Mj0,0.45,0.658,3,-7.877,1,0.0887,0.524,2.8e-05,0.13,0.418,169.67,184000,4,Brand New Colony,Handsome Ghost
spotify:track:7AKebOEDMEZWMqBl4bKoYu,0.514,0.206,5,-13.578,0,0.032,0.835,0.0,0.114,0.127,75.874,212300,4,Chandelier,Kina Grannis
spotify:track:6gf2j6a8uN53XCBcHyxQYZ,0.587,0.627,0,-7.099,1,0.0265,0.0366,0.095,0.153,0.24,132.03,218506,4,Love Is A Stranger,Hannah Georgas
spotify:track:4ulix0RIyXmuNLgwPaz46S,0.551,0.0876,7,-25.719,1,0.154,0.799,0.00243,0.178,0.268,135.895,160588,4,Youth,Haux
spotify:track:4RL77hMWUq35NYnPLXBpih,0.379,0.29,4,-8.485,1,0.051,0.952,0.00106,0.118,0.169,166.467,201080,4,Skinny Love,Birdy
spotify:track:4o0vitIuYMBVYTcHSgx2T0,0.287,0.402,9,-8.035,1,0.0304,0.541,0.00269,0.977,0.236,81.172,391453,3,Bloodshot Eyes (Live),Trampled by Turtles
spotify:track:0vxxs95uGiP2ykiY1IBirK,0.361,0.593,9,-6.122,1,0.0398,0.685,0.0,0.706,0.578,179.204,226129,3,Easy - Live from Spotify NYC,Sheryl Crow
spotify:track:07nf7RIGkqgvQijSIubNsj,0.699,0.803,10,-10.615,0,0.509,0.146,0.0,0.534,0.661,76.24,181280,4,Werkin' Girls - Live From Spotify Austin (Curated by Jim Eno),Angel Haze
spotify:track:7uDPmBmZ2Tv3SfeqLyJ12Q,0.613,0.47,5,-4.547,0,0.101,0.6,0.0,0.796,0.413,138.134,192187,4,Sure Thing - Spotify Sessions,Miguel
spotify:track:7sDzAu7alAL1hWvL86tSGB,0.61,0.165,8,-14.659,1,0.0502,0.981,0.000544,0.134,0.258,102.68,191560,4,Sweater Weather - Spotify Sessions Curated by Jim Eno,The Neighbourhood
spotify:track:6uin5glAXmRxgtvWd0iKCl,0.539,0.956,0,-3.908,1,0.0484,0.0532,0.00447,0.165,0.63,97.036,220550,4,The City - Spotify Sessions Curated by Jim Eno,The 1975
spotify:track:2sIsyZ775L9WDOtsUiB8Er,0.647,0.32,2,-16.637,1,0.0372,0.683,0.0639,0.377,0.16,140.041,240053,4,Just Movement - Live at Spotify House,Robert DeLong
spotify:track:4OXplYTzwAoyR0rFvUsDyR,0.509,0.952,2,-5.829,0,0.362,0.0973,0.471,0.364,0.0358,117.0,465187,4,Genesis - Live / AAA,Justice
spotify:track:3wMtW7OyslemHe5Ft5sNyA,0.717,0.65,6,-8.303,0,0.337,0.0768,0.0,0.944,0.592,94.979,248517,4,Thrift Shop - Live From Spotify NYC feat. Wanz,"Macklemore & Ryan Lewis,Wanz"
spotify:track:5Ya0FBom0sJRKk7IoIcJ6J,0.284,0.748,0,-5.487,1,0.038,0.00412,0.000572,0.971,0.236,133.879,285720,4,I Will Wait - Live From Red Rocks,Mumford & Sons
spotify:track:0bzkoPXiSr3iyAmlHKNtne,0.451,0.908,5,-6.386,0,0.0642,0.0572,0.418,0.381,0.288,131.016,284960,4,Clocks - Live,Coldplay
spotify:track:30bC3YZlG6JggfU5A6xoaI,0.466,0.226,7,-8.913,1,0.0287,0.91,5.89e-06,0.956,0.238,107.07,277493,4,Beautiful Disaster - Live,Kelly Clarkson
spotify:track:0EUSbTvyZfo9QOcxunL9Ro,0.368,0.44,4,-11.486,1,0.0294,0.713,8.83e-05,0.966,0.285,91.799,345627,4,"In Your Atmosphere - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer
spotify:track:18SIkbgrzHfxB4aQ0Ig7mZ,0.734,0.316,2,-11.19,1,0.0365,0.803,0.0504,0.0987,0.43,117.035,181332,4,"Tessellate - Acoustic; Live from Spotify Sessions, New York City, NY [Live From Spotify NYC]",alt-J
spotify:track:57viCi5dDuuvIIFwVWWbYC,0.553,0.684,11,-8.709,0,0.0525,0.58,4.41e-06,0.695,0.824,122.844,138391,4,Lightning Bolt - Live From Spotify London,Jake Bugg
spotify:track:1CwCOaxLVECC70M4g0OcwT,0.468,0.779,6,-4.961,1,0.0322,0.00186,0.0,0.669,0.246,96.964,268428,4,Colours - Spotify Sessions,Grouplove
spotify:track:4M0EavawZTth4hjAbIWGkl,0.472,0.788,1,-6.537,1,0.0535,0.0415,0.000116,0.311,0.656,104.802,203693,4,No Way Down - Spotify Sessions Curated by Jim Eno,The Shins
spotify:track:11jpCy4SWbv1RH4UupAS7H,0.62,0.442,11,-8.232,0,0.627,0.738,0.0,0.204,0.527,139.393,302880,4,R.I.P. - Live from Spotify NYC,Rita Ora
spotify:track:7silU7h7etN24Pvohta9jB,0.568,0.543,3,-7.998,1,0.6,0.338,0.0,0.193,0.547,118.835,354417,4,Jimmy Collins' Wake - Live From Spotify NYC,Dropkick Murphys
spotify:track:4Y1ZvAbetcpZsmedL9uhmR,0.477,0.397,7,-7.939,1,0.0734,0.8,0.0,0.104,0.294,92.401,220792,4,"Next To Me - Live From Spotify NYC, USA/2012",Emeli Sandé
spotify:track:6utFILEuJQrqa9GO5o3sRx,0.508,0.731,7,-6.272,1,0.0937,0.462,0.0,0.741,0.223,116.55,370917,4,Otherside Remix [Live],Macklemore & Ryan Lewis
spotify:track:0HL5quLMoSE3uWA12wnhsY,0.579,0.57,5,-4.049,0,0.0559,0.743,8.34e-06,0.701,0.152,95.282,239909,4,"My Kind Of Love - Live From Spotify NYC, USA/2012",Emeli Sandé
spotify:track:1KqpIQGNINpG0hDdbB9Pif,0.398,0.529,11,-10.085,1,0.0965,0.547,0.0,0.744,0.696,153.704,293507,4,Fireflies - Live From Spotify NYC,Owl City
spotify:track:3OXesBdYcfKqUUgCzNH5Lg,0.4,0.366,8,-6.821,1,0.0398,0.828,0.0,0.111,0.625,77.317,220973,4,Fall - Live,Justin Bieber
spotify:track:63GnRsA54dnZ49zNrLdjAS,0.549,0.376,5,-10.821,1,0.079,0.76,0.0,0.194,0.531,89.48,266933,4,Amen - Live From Spotify NYC,Edens Edge
spotify:track:3J8QBKBSJYyHhCqOBWywN2,0.656,0.757,9,-7.598,0,0.0229,0.218,0.0184,0.256,0.897,104.902,196674,4,Petition - Spotify Sessions Curated by Jim Eno,Tennis
spotify:track:5EU5KvsAm7G5TXtIre68YT,0.398,0.53,11,-9.955,0,0.0447,0.757,0.29,0.369,0.17,166.036,341452,4,Happy Be Fine - Spotify Sessions Curated by Jim Eno,POLIÇA
spotify:track:0IjDzZSUt3ClMtDYdySvyu,0.645,0.41,4,-10.593,1,0.0463,0.49,0.000339,0.685,0.339,104.223,256200,4,Fire Escape (Spotify Sessions),Civil Twilight
spotify:track:2hteKcg0cFdvIy98jk59bo,0.626,0.283,7,-14.06,1,0.0904,0.782,0.0,0.178,0.473,112.885,290446,4,Shining Like America (Live),Marc Scibilia
spotify:track:760QEV2aGbtjfPuhOp1NpF,0.604,0.911,6,-4.633,1,0.0952,0.486,0.0,0.976,0.442,117.134,218307,4,You've Got The Dirtee Love - Live At The Brit Awards 2010,"Florence + The Machine,Dizzee Rascal"
spotify:track:7LC80cw9ubDZe63AP9Eu7V,0.758,0.371,5,-5.736,0,0.0352,0.743,0.0,0.175,0.646,95.994,230787,4,"Valerie - Live, BBC Radio 1 Live Lounge, London/2007",Amy Winehouse
spotify:track:1DJfcWfj5dSIzksFpnRr3S,0.562,0.967,9,-4.919,0,0.271,0.0496,7.37e-05,0.953,0.268,99.13,323733,4,Crazy In Love - Live,Beyoncé
spotify:track:38ziexLQWy5aX117oZZGZd,0.471,0.51,10,-6.006,1,0.0534,0.853,0.00131,0.11,0.0462,118.371,242107,4,Chained - Live at BBC Radio 1,Mikky Ekko
spotify:track:5ammdIRlQ7PPK6fblQTLbA,0.193,0.937,6,-3.35,1,0.186,0.000478,0.222,0.685,0.202,173.105,250013,4,Whole Lotta Rosie - Live at BBC Radio 1,Bullet For My Valentine
spotify:track:1vl1BSstf2pDSRLvmVK7Ae,0.381,0.0254,5,-20.233,1,0.0359,0.984,0.117,0.101,0.0843,108.434,250773,4,"Sail to the Moon - Live from BBC Radio 1's Jo Whiley's Live Lounge, 5/28/2003",Radiohead
spotify:track:7zU2Q9BW0O0eYTlSJyMjEk,0.74,0.889,9,-5.796,0,0.0578,0.0631,4.32e-05,0.64,0.84,122.087,962293,4,The Seed/Melting Pot/Web - Live on BBC Radio One's Worldwide Show with Gilles Peterson,The Roots
spotify:track:75LltETkbWa2OKmJ1AEoM3,0.541,0.91,2,-6.289,1,0.116,0.145,0.0,0.971,0.536,88.117,230800,4,"Waiting On the World to Change - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer
spotify:track:68KdvPllp9Pug8ZG6AByFY,0.478,0.323,7,-9.159,1,0.0341,0.614,0.00898,0.796,0.293,115.804,581067,3,"Gravity - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer
spotify:track:1V8pHaJd5NdZVvWg6uM55l,0.505,0.322,0,-8.268,0,0.038,0.866,0.0,0.69,0.189,78.582,226587,4,Chasing Pavements - Live At The Hotel Cafe,Adele
spotify:track:1FnItzXv96rXVILRuDfedz,0.508,0.758,7,-7.883,1,0.0678,0.621,6.36e-05,0.945,0.497,138.114,289120,4,You And Tequila (With Grace Potter) (Live At Red Rocks Amphitheatre) (feat. Grace Potter),"Kenny Chesney,Grace Potter"
spotify:track:0jjNCnyQPy2vRwhIf2jaL8,0.539,0.394,9,-6.974,1,0.026,0.828,0.0,0.604,0.273,98.265,260360,3,The Writer - Live At The Cherrytree House,Ellie Goulding
spotify:track:0yrELokXQCUyqY56bh7LT0,0.58,0.469,7,-6.035,1,0.0316,0.733,0.0,0.111,0.465,98.508,222280,4,Rocketeer - Live At The Cherrytree House,"Far East Movement,Frankmusik"
spotify:track:47wZJm0GQBl6F6ivrLLSpd,0.549,0.464,7,-9.019,0,0.0398,0.668,1.24e-05,0.39,0.509,100.869,140800,4,The Snow It Melts The Soonest - Live At The Cherrytree House,Sting
